"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2023","823.28","825.09","826.32","809.79","242.31M","-0.57%"
"03/23/2023","828.00","841.14","855.40","814.89","278.70M","0.19%"
"03/22/2023","826.47","857.81","862.76","825.95","282.97M","-3.03%"
"03/21/2023","852.26","820.48","853.69","820.48","299.94M","6.51%"
"03/20/2023","800.19","782.81","813.01","777.18","279.27M","1.38%"
"03/17/2023","789.32","808.44","812.33","779.43","508.03M","-2.51%"
"03/16/2023","809.63","792.82","815.50","787.44","281.66M","1.91%"
"03/15/2023","794.47","795.00","799.68","776.80","348.59M","-1.85%"
"03/14/2023","809.41","793.70","812.66","793.70","328.78M","3.64%"
"03/13/2023","780.98","758.56","792.66","742.57","388.74M","0.00%"
"03/10/2023","781.01","792.08","803.00","765.20","354.05M","-0.60%"
"03/09/2023","785.76","817.94","832.78","784.68","322.24M","-4.55%"
"03/08/2023","823.19","830.88","835.98","815.07","311.64M","-2.04%"
"03/07/2023","840.36","855.22","862.93","836.65","363.74M","-2.84%"
"03/06/2023","864.92","882.32","882.32","860.84","248.52M","-1.63%"
"03/03/2023","879.23","865.33","887.38","860.19","325.94M","3.40%"
"03/02/2023","850.33","833.31","855.88","830.35","342.81M","-3.94%"
"03/01/2023","885.23","897.84","901.76","873.12","367.62M","-1.23%"
"02/28/2023","896.22","911.80","913.32","889.86","298.24M","-0.68%"
"02/27/2023","902.37","884.99","909.15","883.59","286.43M","4.18%"
"02/24/2023","866.13","861.79","868.68","851.07","267.31M","-2.18%"
"02/23/2023","885.42","895.60","899.46","864.68","331.46M","0.02%"
"02/22/2023","885.27","876.03","890.14","856.76","305.11M","1.23%"
"02/21/2023","874.55","905.67","921.59","874.31","318.82M","-4.89%"
"02/17/2023","919.49","892.28","919.50","882.07","328.91M","2.19%"
"02/16/2023","899.78","926.02","949.84","899.10","372.43M","-4.23%"
"02/15/2023","939.52","925.75","939.55","908.91","332.10M","2.15%"
"02/14/2023","919.74","860.22","922.35","852.26","355.36M","5.62%"
"02/13/2023","870.78","864.25","874.05","845.28","289.49M","-0.29%"
"02/10/2023","873.31","889.82","901.00","859.76","338.87M","-4.14%"
"02/09/2023","911.03","915.57","939.91","902.31","385.06M","1.99%"
"02/08/2023","893.28","875.80","900.65","870.62","305.35M","1.53%"
"02/07/2023","879.82","876.48","882.65","852.82","340.40M","0.89%"
"02/06/2023","872.06","865.22","880.13","853.57","331.09M","1.70%"
"02/03/2023","857.51","839.46","888.70","836.69","489.53M","-0.39%"
"02/02/2023","860.89","852.07","890.64","841.85","479.28M","3.73%"
"02/01/2023","829.90","803.63","839.22","788.89","397.48M","3.54%"
"01/31/2023","801.53","769.65","803.49","764.53","424.74M","4.15%"
"01/30/2023","769.60","810.83","812.81","768.91","480.35M","-5.16%"
"01/27/2023","811.48","754.48","821.75","751.07","690.79M","8.67%"
"01/26/2023","746.75","748.02","751.33","727.49","372.29M","7.34%"
"01/25/2023","695.69","684.12","701.68","670.52","286.58M","0.38%"
"01/24/2023","693.07","689.65","701.05","682.78","270.68M","-0.12%"
"01/23/2023","693.88","662.85","698.94","658.66","362.37M","6.09%"
"01/20/2023","654.03","637.20","654.50","631.75","256.68M","3.50%"
"01/19/2023","631.94","635.79","642.22","620.82","303.51M","-1.57%"
"01/18/2023","641.99","671.04","671.05","637.14","315.20M","-1.66%"
"01/17/2023","652.84","635.65","653.62","632.14","323.57M","4.48%"
"01/13/2023","624.85","607.58","625.42","599.52","385.87M","-1.62%"
"01/12/2023","635.12","629.45","637.90","610.20","333.68M","0.79%"
"01/11/2023","630.16","623.85","637.78","618.83","347.67M","2.94%"
"01/10/2023","612.18","615.55","621.80","594.50","289.24M","0.19%"
"01/09/2023","611.00","609.11","626.18","602.65","317.43M","3.65%"
"01/06/2023","589.51","551.17","594.08","549.57","340.19M","2.42%"
"01/05/2023","575.58","574.26","581.86","563.46","275.70M","-1.73%"
"01/04/2023","585.74","569.11","589.07","563.64","313.04M","4.06%"
"01/03/2023","562.89","598.33","600.22","551.18","359.44M","-7.84%"
"12/30/2022","610.77","599.52","612.75","599.52","256.58M","0.62%"
"12/29/2022","606.99","597.67","611.08","589.01","343.80M","6.33%"
"12/28/2022","570.88","567.45","586.41","558.27","338.14M","1.34%"
"12/27/2022","563.33","590.75","596.39","562.08","322.90M","-7.58%"
"12/23/2022","609.55","618.98","626.79","600.18","265.03M","-0.98%"
"12/22/2022","615.59","654.34","655.56","603.69","372.64M","-7.19%"
"12/21/2022","663.28","667.85","674.12","656.52","255.97M","0.40%"
"12/20/2022","660.62","687.53","695.33","660.29","331.78M","-5.62%"
"12/19/2022","699.98","717.38","718.77","688.25","292.88M","-0.77%"
"12/16/2022","705.43","741.73","745.07","705.00","392.03M","-4.41%"
"12/15/2022","738.00","727.10","749.79","726.46","247.29M","-0.32%"
"12/14/2022","740.35","749.91","758.21","734.31","265.17M","-1.98%"
"12/13/2022","755.27","806.13","807.16","741.18","321.60M","-2.69%"
"12/12/2022","776.17","798.61","802.14","773.63","214.30M","-4.07%"
