"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","1,311.02","1,322.00","1,334.84","1,309.05","100.65M","-0.88%"
"12/30/2021","1,322.63","1,310.48","1,349.94","1,307.57","125.40M","-0.94%"
"12/29/2021","1,335.24","1,348.52","1,351.28","1,312.17","98.58M","-0.27%"
"12/28/2021","1,338.92","1,361.46","1,368.97","1,331.33","121.98M","-0.59%"
"12/27/2021","1,346.90","1,320.55","1,369.33","1,318.59","156.19M","2.52%"
"12/23/2021","1,313.80","1,252.28","1,320.07","1,243.30","127.52M","4.75%"
"12/22/2021","1,254.27","1,204.54","1,260.85","1,198.75","167.95M","6.40%"
"12/21/2021","1,178.86","1,159.54","1,179.76","1,123.05","149.35M","3.70%"
"12/20/2021","1,136.76","1,148.80","1,158.38","1,127.68","168.63M","-3.34%"
"12/17/2021","1,176.07","1,166.54","1,208.65","1,154.44","220.19M","-0.45%"
"12/16/2021","1,181.36","1,253.16","1,254.78","1,177.63","161.18M","-4.14%"
"12/15/2021","1,232.43","1,207.77","1,234.77","1,177.30","128.95M","1.53%"
"12/14/2021","1,213.91","1,202.34","1,222.57","1,181.21","174.11M","-0.96%"
"12/13/2021","1,225.66","1,270.96","1,274.45","1,210.79","214.24M","-4.89%"
"12/10/2021","1,288.64","1,266.56","1,289.78","1,242.50","219.01M","2.31%"
"12/09/2021","1,259.49","1,321.41","1,322.57","1,258.13","102.77M","-5.36%"
"12/08/2021","1,330.77","1,316.82","1,334.41","1,292.73","98.57M","1.26%"
"12/07/2021","1,314.24","1,301.07","1,320.78","1,289.03","120.01M","3.98%"
"12/06/2021","1,263.88","1,252.94","1,277.89","1,196.31","152.99M","-0.23%"
"12/03/2021","1,266.74","1,348.25","1,352.66","1,250.65","185.24M","-5.83%"
"12/02/2021","1,345.15","1,350.38","1,371.21","1,314.53","155.09M","-0.34%"
"12/01/2021","1,349.74","1,417.68","1,432.26","1,347.15","188.14M","-3.52%"
"11/30/2021","1,399.04","1,404.25","1,427.50","1,369.55","169.72M","0.12%"
"11/29/2021","1,397.32","1,360.74","1,404.76","1,360.74","117.06M","4.24%"
"11/26/2021","1,340.54","1,364.09","1,365.53","1,336.47","85.05M","-3.02%"
"11/24/2021","1,382.28","1,348.75","1,400.25","1,325.09","124.05M","0.34%"
"11/23/2021","1,377.56","1,439.76","1,451.15","1,329.00","168.98M","-3.62%"
"11/22/2021","1,429.25","1,426.61","1,471.50","1,397.88","231.76M","2.00%"
"11/19/2021","1,401.22","1,364.86","1,403.51","1,359.53","155.66M","2.98%"
"11/18/2021","1,360.61","1,377.91","1,383.32","1,337.61","155.70M","0.10%"
